#{"t_start": 1772661605.4721558, "env_id": "None"}
r,l,t
3.2812252,10,37.43831
3.5043051,10,37.512778
2.6144695,10,37.587031
3.2124975,10,37.680409
3.9257197,10,37.778637
3.158965,10,37.873615
3.9312778,10,37.955513
4.1130195,10,38.043665
3.1310544,10,38.136026
3.276392,10,38.22843
2.3852615,10,38.315134
2.7911139,10,38.414303
4.05866,10,38.728586
3.8897574,10,39.298797
3.2474036,10,39.680642
3.2385833,10,40.078812
3.6789534,10,40.32327
3.2868803,10,40.482791
2.8263233,10,40.909638
3.4956887,10,41.071482
3.393895,10,41.252391
2.1092126,10,41.346345
2.90037,10,41.425249
4.1813507,10,41.519156
3.2840154,10,41.648374
2.7799828,10,41.771275
2.0876434,10,41.876705
2.885477,10,42.736896
2.8632023,10,43.141683
1.8347354,10,43.366265
3.1537132,10,43.470886
4.010742,10,43.60285
3.7921882,10,43.743067
3.406258,10,43.832783
3.3876636,10,43.912954
1.8843794,10,44.015366
3.1056192,10,44.178057
3.8401654,10,44.305869
3.685258,10,44.465997
2.7026176,10,44.780909
4.267801,10,44.955641
2.7237465,10,45.238912
2.144141,10,45.378267
2.393187,10,45.596265
3.0390844,10,45.684092
2.7169006,10,45.788679
2.7511764,10,45.88301
3.3381968,10,45.962678
2.8338454,10,46.040473
4.0460014,10,46.173407
3.8387659,10,46.373413
2.9149764,10,46.492241
1.7815833,10,46.626404
3.5371141,10,46.748311
3.576128,10,46.95461
2.7869844,10,47.266614
3.720756,10,47.455555
3.4448783,10,47.62423
3.7912123,10,47.77039
3.6044195,10,47.909252
3.2721512,10,48.041048
3.738999,10,48.14939
2.3956182,10,48.319258
3.4573686,10,48.725086
3.5623498,10,48.958775
2.9407768,10,49.171226
3.2382717,10,49.345782
2.4381115,10,49.578742
3.4449372,10,49.763516
2.9685605,10,49.911715
2.299475,10,50.031234
3.5271676,10,50.14883
3.7665803,10,50.30597
1.7354188,10,50.440048
2.7496266,10,50.569046
2.9709826,10,51.217339
