#{"t_start": 1772661767.848299, "env_id": "None"}
r,l,t
3.8860574,10,55.002525
3.3934884,10,55.148655
3.8692734,10,55.250745
3.9450965,10,55.381332
3.3348277,10,55.473979
3.7718925,10,55.650367
4.1367946,10,55.749947
3.8083446,10,55.828355
3.8763053,10,55.943773
3.2834396,10,56.054468
3.6307,10,56.209024
3.3617234,10,56.295152
2.5886626,10,56.382951
2.6192806,10,56.478864
3.5184739,10,56.561588
3.77848,10,56.649378
3.2141392,10,56.735539
3.618017,10,56.820397
3.103743,10,56.910575
3.6367722,10,57.009845
3.0125327,10,57.109063
3.3084738,10,57.195475
3.4691694,10,57.27623
3.9932685,10,57.351962
2.8842301,10,57.440773
2.2874,10,57.53319
3.195972,10,57.777419
3.2480402,10,57.912232
2.8105338,10,58.002362
3.1204984,10,58.090022
2.417049,10,58.191404
2.420433,10,58.286038
3.4668105,10,58.389031
2.8189604,10,58.46886
3.646227,10,58.564037
4.0829415,10,58.652657
2.2561214,10,58.725463
3.7627969,10,58.791079
3.853557,10,58.865377
2.1481812,10,58.97363
4.1301637,10,59.057923
2.8483477,10,59.162186
3.2570753,10,59.285077
3.4535053,10,59.413003
3.3972545,10,59.499204
3.4316063,10,59.582086
3.124362,10,59.680854
3.1946635,10,59.803697
2.9894314,10,59.917606
3.3316355,10,60.941598
4.4237504,10,61.0106
3.6969676,10,61.082043
4.5797744,10,61.174965
3.9864776,10,61.234764
3.3344426,10,61.289622
3.2999184,10,61.342338
3.1804502,10,61.406446
2.7358332,10,61.463303
3.0506673,10,61.541575
3.621409,10,61.650195
4.157295,10,61.720785
3.5060644,10,61.797118
3.0460322,10,61.89376
4.209755,10,61.97699
3.5969005,10,62.042221
2.5529442,10,62.435461
3.0994177,10,62.857193
2.7738342,10,63.049884
2.595289,10,63.147784
3.8345878,10,63.545379
3.2665775,10,63.660242
3.5876114,10,63.763266
4.1744623,10,63.950474
3.4867334,10,64.15667
3.1032214,10,64.25463
3.939547,10,64.389289
3.9813051,10,64.512719
3.538859,10,64.623935
3.445386,10,64.744283
4.462703,10,64.904373
3.4577737,10,65.051603
3.9498672,10,65.187278
3.4511998,10,65.295168
3.3608546,10,65.419666
3.6115322,10,65.548643
3.3937101,10,65.670423
3.8818448,10,65.786174
4.4560156,10,65.924708
3.3643262,10,66.051591
4.016015,10,66.166053
